dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
2048,2,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),12.351537500217091
2048,2,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),28.333520799060352
2048,2,relu,float16,False,MLP,mps,Forward Time (ms),12.93816249963129
2048,2,relu,float16,False,MLP,mps,Backward Time (ms),32.1489375011879
2048,2,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),12.2052666003583
2048,2,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),21.99941669969121
2048,2,relu,bfloat16,False,MLP,mps,Forward Time (ms),20.708970799751114
2048,2,relu,bfloat16,False,MLP,mps,Backward Time (ms),34.95084589958424
2048,2,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),19.51555840059882
2048,2,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),34.459841599164065
