dim,activation,dtype,fp8,competitor,measurement,value
2048,silu,float16,False,FP8MLP,Forward Time (ms),1.0011648178100585
2048,silu,float16,False,FP8MLP,Backward Time (ms),2.1402624130249026
2048,silu,float16,False,FP8MLP,Forward Peak Memory (GB),0.207880704
2048,silu,float16,False,FP8MLP,Backward Peak Memory (GB),0.323224576
2048,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),1.0232831954956054
2048,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),2.0999168395996097
2048,silu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.207880704
2048,silu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.323224576
2048,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.9988191604614258
2048,silu,bfloat16,False,FP8MLP,Backward Time (ms),2.139638519287109
2048,silu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.207880704
2048,silu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.323224576
2048,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),1.0214367866516114
2048,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),2.1002272605895995
2048,silu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.207880704
2048,silu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.323224576
